,pipeID,length,total_loss,skin_friction,fittings_friction,heat_loss,X,Y,tot,pskin_friction,pfittings_friction,pheat_loss
0,RIL501,65,10.0,1.765370708585128,7.754207894920185,495.8042908775036,601607.343,1442055.476,505.3238694810089,0.0,2.0,98.0
1,RIL502,65,25.0,4.24722456392238,18.997076430655117,316.7638525050718,601557.8487,1442055.6648,340.00815349964927,1.0,6.0,93.0
2,RIL503,65,33.0,5.485642183328766,24.640498055502512,278.1341143946972,601557.8487,1442055.6648,308.26025463352846,2.0,8.0,90.0
3,RIL504,60,28.0,5.233181098035975,20.160544642884524,252.48181692916967,601557.8487,1442055.6648,277.87554267009017,2.0,7.0,91.0
4,RIL505,60,38.0,7.091325021250675,27.440741319481713,216.4129859392883,601557.8487,1442055.6648,250.94505228002066,3.0,11.0,86.0
5,RIL506,60,50.0,8.039720114794447,36.593289540571554,148.11719603629496,601557.8487,1442055.6648,192.75020569166097,4.0,19.0,77.0
6,RIL508,37,1.0,0.15693081451564242,0.19091015222835123,320.0864913556884,601557.8487,1442055.6648,320.4343323224324,0.0,0.0,100.0
7,RIL508X7C22,37,59.0,0.020548582775271555,0.037702835953141306,465.5015723424052,601557.8487,1442055.6648,465.5598237611336,0.0,0.0,100.0
8,RIL508X7C23,37,59.0,0.020548582775271555,0.037702835953141306,465.5015723424052,601557.8487,1442055.6648,465.5598237611336,0.0,0.0,100.0
9,RIL7A22,879,575.0,4.851837857950713,0.9219884735633362,3407.9491896720187,601557.8487,1442055.6648,3413.723016003533,0.0,0.0,100.0
10,RIL7A23,742,671.0,12.04499036246293,1.245866960877013,1656.3828371785592,601557.8487,1442055.6648,1669.673694501899,1.0,0.0,99.0
11,RIL7C22,1334,8.0,12.3143288684865,14.996801957317649,3948.103079854302,601557.8487,1442055.6648,3975.414210680106,0.0,0.0,99.0
12,RIL7C23,1334,5.0,21.63730579369159,2.7799078690646892,2970.141370388603,601557.8487,1442055.6648,2994.558584051359,1.0,0.0,99.0
13,RIL7H22,1539,501.0,75.0094904813688,3.806433080960053,1948.833444334436,601557.8487,1442055.6648,2027.649367896765,4.0,0.0,96.0
14,RIL7H23,1539,578.0,75.0094904813688,81.5845490352438,1948.833444334436,601557.8487,1442055.6648,2105.4274838510487,4.0,4.0,93.0
15,RIL7RA22,65,3.0,0.8097420796586765,1.692058687446514,164.10810538926052,601557.8487,1442055.6648,166.6099061563657,0.0,1.0,98.0
16,RIL7RA23,65,2.0,0.8097420796586765,0.7414639192181354,164.10810538926052,601557.8487,1442055.6648,165.65931138813733,0.0,0.0,99.0
17,RIL7REX,1535,2426.0,74.7321454654087,6.767451965557851,1937.082553138818,601557.8487,1442055.6648,2018.5821505697845,4.0,0.0,96.0
18,RILPAL1RD,161,11.0,7.838355322430491,2.965512659064676,203.1728280490878,601557.8487,1442055.6648,213.97669603058296,4.0,1.0,95.0
19,RILPAL4RD,81,11.0,3.943520379607887,6.767451965557851,102.21738554022429,601557.8487,1442055.6648,112.92835788539003,3.0,6.0,91.0
20,RILPAL5RD,80,7.0,3.8948349428226043,2.965512659064676,100.95544250886351,601557.8487,1442055.6648,107.8157901107508,4.0,3.0,94.0
21,RILPAL6RD,41,23.0,1.191073200264239,1.7563851633161711,66.98518971160688,601557.8487,1442055.6648,69.93264807518729,2.0,3.0,96.0
22,RILPAL7RD,42,25.0,1.2201237661243425,4.0081610137215185,68.61897482652414,601557.8487,1442055.6648,73.84725960637,2.0,5.0,93.0
23,STL5001,592,1857.0,901.867245019045,590.9802209219457,19756.70036413648,601557.8487,1442055.6648,21249.54783007747,4.0,3.0,93.0
24,STL5002,592,6396.0,2277.843653762651,3766.2760473886415,12622.336343753863,601557.8487,1442055.6648,18666.456044905157,12.0,20.0,68.0
25,STL5003,592,8226.0,2997.6259350918513,4885.115768256408,11083.027033539978,601557.8487,1442055.6648,18965.76873688824,16.0,26.0,58.0
26,STL5004,455,3595.0,1149.4878791394904,1996.2436782621546,11853.403755548537,601557.8487,1442055.6648,14999.135312950182,8.0,13.0,79.0
27,STL5005,455,4736.0,1574.125838285874,2717.1094509679338,10160.060361898744,601557.8487,1442055.6648,14451.295651152552,11.0,19.0,70.0
28,STL5006,536,13780.0,5855.962633739501,7513.421088262283,6981.785069202216,601557.8487,1442055.6648,20351.168791204,29.0,37.0,34.0
29,STL5008,37,465.0,65.14299581972436,164.7379288812331,1199.0288772789313,601557.8487,1442055.6648,1428.9098019798887,5.0,12.0,84.0
30,STL501X70A2,12,263.0,3.313181498297281,111.15103616429104,403.6874481201924,601557.8487,1442055.6648,518.1516657827807,1.0,21.0,78.0
31,STL502X70A2,12,631.0,8.32267924827325,286.90776692682834,255.19312677085253,601557.8487,1442055.6648,550.4235729459541,2.0,52.0,46.0
32,STL503X70A2,12,825.0,10.941990853884162,379.4786248357981,223.27111409713632,601557.8487,1442055.6648,613.6917297868185,2.0,62.0,36.0
33,STL504X70A1,18,424.0,8.214977811994748,186.73316646218166,469.69412754569447,601557.8487,1442055.6648,664.6422718198709,1.0,28.0,71.0
34,STL505X70A1,18,573.0,11.230129055488938,257.5034540909105,401.5435900741711,601557.8487,1442055.6648,670.2771732205706,2.0,38.0,60.0
35,STL506X70B1,14,2271.0,27.718791729214836,1360.4687151119228,179.40368660575533,601557.8487,1442055.6648,1567.5911934468932,2.0,87.0,11.0
36,STL508X70C2,9,433.0,2.865646529924441,292.88762328153024,291.8223683147765,601557.8487,1442055.6648,587.5756381262312,0.0,50.0,50.0
37,STL70A1,55,752.0,109.71603313663996,633.4004237588746,920.8528873579266,601557.8487,1442055.6648,1663.9693442534412,7.0,38.0,55.0
38,STL70A2,55,1857.0,272.62780348738335,1582.850192713704,586.6854831958043,601557.8487,1442055.6648,2442.1634793968915,11.0,65.0,24.0
39,STL70B1,257,3261.0,1997.3784121236292,1107.906444204298,2217.245993318186,601557.8487,1442055.6648,5322.530849646113,38.0,21.0,42.0
40,STL70B2,257,2185.0,1294.0263177254249,721.6096293821365,2734.255313690566,601557.8487,1442055.6648,4749.891260798127,27.0,15.0,58.0
41,STL70IF1,1811,45142.0,21326.086825406313,24403.49990410282,15569.13483059838,601557.8487,1442055.6648,61298.72156010751,35.0,40.0,25.0
42,STL70IF2,1811,44353.0,20872.60168510855,24054.569210149093,15572.21188085235,601557.8487,1442055.6648,60499.38277611,35.0,40.0,26.0
